Attraction Name,Latitude,Longitude,State,Type
Air Mobility Command Museum,39.1190036,-75.4568074,Delaware,museum
Hilton Head Distillery,32.2239659,-80.7016202,United States,point_of_interest
Museum of American Speed,40.8186485,-96.7256592,Nebraska,museum
Tennessee Cider Company,35.7132217,-83.5137398,Tennessee,establishment
Dig This,35.9480152,-115.1758659,Nevada,establishment
The Beatles - Love - Cirque du Soleil,36.1204933,-115.1747142,Nevada,point_of_interest
Cosmo's Magic Theater,38.89612899999999,-104.842006,Colorado,point_of_interest
Safari Zoological Park,37.0142747,-95.9007922,Kansas,park
Gracianna Winery,38.5251895,-122.8658955,California,establishment
Oakland California Temple & Visitors' Center,37.80810719999999,-122.1990111,California,establishment
Horseshoe Casino,41.694271,-87.5070037,Indiana,establishment
Tennessee Legend Distillery - Winfield Dunn Parkway,35.887853,-83.5775334,Tennessee,point_of_interest
Little Opry Theater,36.6535949,-93.2873831,Missouri,point_of_interest
Horseshoe Hammond,41.694271,-87.5070037,Indiana,establishment
Black Spruce Dog Sledding,64.9929219,-148.040631,Alaska,point_of_interest
Hatchet Hangout - Axe Throwing St Pete,27.7708429,-82.66561050000001,United States,point_of_interest
Historic Auto Attractions,42.461352,-89.0142238,Illinois,museum
Wild Gals Old Time Photo,35.8242701,-83.5760857,Tennessee,point_of_interest
Harrah's Philadelphia,39.8505188,-75.3492296,Pennsylvania,establishment
"Immersive Gamebox - Grandscape, The Colony",33.0745078,-96.86027999999999,Texas,point_of_interest
Kauai Backcountry Adventures,21.9950123,-159.3551132,Hawaii,point_of_interest
Clue Carre - New Orleans' First Live Escape Game,29.9514538,-90.07227689999999,Louisiana,point_of_interest
The Escape Room USA - Columbus,39.9717077,-83.0028371,Ohio,point_of_interest
Royal Star Hawaii Deluxe Tours,21.3315476,-157.8858822,Hawaii,point_of_interest
Toa Luau,21.6359328,-158.0541769,Hawaii,point_of_interest
The Escape Game Pigeon Forge,35.8032637,-83.57006299999999,Tennessee,point_of_interest
Naughty Cat Cafe,35.0112793,-85.3265924,Tennessee,point_of_interest
Epcot World Showcase,28.3718246,-81.549381,Florida,establishment
Over The Falls Tours,43.1024441,-78.96161839999999,New York,point_of_interest
The Escape Game Orlando,28.4482115,-81.47050689999999,Florida,point_of_interest
The Little Vegas Chapel,36.1548616,-115.1516056,Nevada,point_of_interest
Cowgirls and Cowboys in the West,35.0146205,-101.6626929,Texas,point_of_interest
The Magical Mystery Show at Hilton Waikiki Beach,21.275445,-157.8220021,United States,point_of_interest
Trapped Escape Game,35.8063698,-83.57861919999999,Tennessee,point_of_interest
Las Vegas ATVs,36.1049958,-115.1853626,Nevada,point_of_interest
Juneau Tours & Whale Watch,58.30049329999999,-134.4201306,Alaska,political
Las Vegas Shooting Center,36.095994,-115.1817368,Nevada,point_of_interest
Beat The Bomb,40.7030771,-73.9838659,New York,point_of_interest
9/11 Ground Zero Tour,40.7113389,-74.0090029,New York,point_of_interest
The Final Door Escape Room Columbia,33.9815387,-81.064883,United States,point_of_interest
Dean Z - the Ultimate Elvis,36.6373405,-93.2796631,Missouri,point_of_interest
Immersive Gamebox - Lower East Side,40.71814,-73.9885917,New York,point_of_interest
Breakout Games - Boston (Marlborough),42.3381974,-71.5848634,Massachusetts,point_of_interest
Smoky Mountain Escape Games,35.8073735,-83.5750104,Tennessee,point_of_interest
King Fisher Fleet,26.9282576,-82.0639672,United States,point_of_interest
Alaska Tales,58.2987361,-134.4045556,Alaska,point_of_interest
Soul Of Motown,35.8131233,-83.57860389999999,United States,point_of_interest
